best=5035 start=2514s,155378000nsec click=251 (r15 c11)
best=5032 start=4114s,188779000nsec click=108 (r6 c12)
best=5088 start=562s,11732000nsec click=188 (r11 c12)
best=5163 start=529s,116013000nsec click=100 (r6 c4)
best=5180 start=731s,587383000nsec click=128 (r8 c0)
best=5185 start=4234s,499112000nsec click=86 (r5 c6)
best=5315 start=3797s,649273000nsec click=170 (r10 c10)
best=5323 start=2438s,671676000nsec click=135 (r8 c7)
best=5389 start=1905s,199871000nsec click=189 (r11 c13)
best=5458 start=2363s,910314000nsec click=110 (r6 c14)
best=5483 start=1415s,446740000nsec click=212 (r13 c4)
best=5591 start=614s,523516000nsec click=171 (r10 c11)
best=5600 start=319s,55668000nsec click=164 (r10 c4)
best=5779 start=230s,899720000nsec click=109 (r6 c13)
best=5800 start=2618s,509490000nsec click=176 (r11 c0)
